prob,record,observe
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,0
0.25,0,0
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.25,0,0
0.91304,1,1
0.25,0,0
0.25,0,1
0.91304,1,0
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,0
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,1
0.91304,1,0
0.91304,1,1
0.91304,1,1
0.91304,1,1
